City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
267,Pemangkat,ID,2021-12-07 19:16:33,1.1667,108.9667,77.5,90,37,6.4
268,Tessalit,ML,2021-12-07 19:16:33,20.1986,1.0114,75.51,13,9,6.76
269,Saint George,US,2021-12-07 19:16:33,37.1041,-113.5841,61.27,32,1,1.01
270,Aksay,RU,2021-12-07 19:16:34,47.26,39.87,48.25,61,86,8.99
271,Tuatapere,NZ,2021-12-07 19:16:34,-46.1333,167.6833,52.7,77,49,4.45
272,Balgazyn,RU,2021-12-07 19:17:34,51.0,95.2,10.89,95,100,0.49
273,Petropavlovsk-Kamchatskiy,RU,2021-12-07 19:17:35,53.0452,158.6483,23.59,50,40,11.18
274,Sao Joao Da Barra,BR,2021-12-07 19:17:35,-21.6403,-41.0511,75.29,82,100,17.38
275,Nanortalik,GL,2021-12-07 19:08:44,60.1432,-45.2371,17.17,51,93,2.17
276,Richards Bay,ZA,2021-12-07 19:17:36,-28.783,32.0377,72.39,76,100,4.18
277,Salinopolis,BR,2021-12-07 19:17:36,-0.6136,-47.3561,80.98,84,100,9.57
278,Hagdan,PH,2021-12-07 19:17:37,11.3333,123.9,78.12,90,100,26.04
279,Hasaki,JP,2021-12-07 19:17:37,35.7333,140.8333,50.4,84,100,34.87
280,Matay,EG,2021-12-07 19:17:37,28.419,30.7792,59.02,32,2,12.01
281,Zeya,RU,2021-12-07 19:17:38,53.75,127.2667,7.56,94,29,2.91
282,Jalu,LY,2021-12-07 19:17:38,29.0331,21.5482,57.92,43,35,15.28
283,Irbil,IQ,2021-12-07 19:17:38,36.1926,44.0106,55.22,62,85,3.44
284,Antalaha,MG,2021-12-07 19:17:39,-14.9003,50.2788,73.96,80,3,6.33
285,Mukhen,RU,2021-12-07 19:17:39,48.1,136.1,13.51,91,15,5.44
286,Champerico,GT,2021-12-07 19:17:39,14.3,-91.9167,93.76,66,0,7.09
287,Nanlong,CN,2021-12-07 19:17:40,31.3533,106.0631,50.18,79,100,4.59
288,Chokurdakh,RU,2021-12-07 19:17:40,70.6333,147.9167,-28.14,100,100,2.08
289,Santiago Del Estero,AR,2021-12-07 19:17:41,-27.7951,-64.2615,91.8,31,83,11.77
290,Kismayo,SO,2021-12-07 19:17:41,-0.3582,42.5454,80.73,74,19,10.09
291,Desaguadero,PE,2021-12-07 19:17:42,-16.5656,-69.0417,56.41,52,37,11.48
292,Cayenne,GF,2021-12-07 19:16:33,4.9333,-52.3333,86.04,81,20,3.0
